"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
284080,271771,85,184548,176658,84,6608.5,200145,7025.93,22177.8,-572.791,1693.85,1336.43,150052,49098.3,-11868,0.900276,1
148304,132812,85,147256,130903,80,3584.6,117752,8782.98,36185.6,1438.42,955.274,2557.63,199029,11019.3,-16205.2,0.900276,1
273421,255821,86,220526,206466,84,5854.27,209550,4144.37,18974,926.388,902.985,2047.13,242452,30995,-17566.1,0.919803,1
363417,329993,91,340520,299049,91,9509.75,142039,26122.7,54318.6,-49.9583,1454.37,2527.6,152009,50050.2,-13169.2,0.921858,1
249744,225957,89,339613,308223,86,5917.93,192484,7573.34,31172.9,-528.994,891.521,2331.28,210720,45816.9,-15026.1,0.922886,1
354344,323741,88,269338,236844,89,8451.63,143603,19919.2,22330.6,159.587,984.275,2548.66,218584,49951.4,-18096.5,0.926997,1
272537,253545,84,247075,225698,85,6736.39,138499,8124.32,41641.2,-402.425,17005.8,139.206,133144,43168.2,-10164.6,0.951662,1
268768,240982,93,311433,273387,88,5664.79,139684,10035.2,19581.4,109.932,2238.74,1646.19,319746,44205,-26908.4,0.978383,1
284905,270863,85,184812,172373,85,5407.47,120047,5669.86,24303.6,-1688.64,11158.4,1452.76,139947,39131.1,-11255.6,0.980438,1
210009,194305,82,186908,174019,84,2906.59,114427,4281.84,27690.7,-323.892,165.712,285.232,127458,19852.4,-7799.58,0.986604,1
279411,250930,86,325480,283947,89,8422.9,128968,17034.1,47441.9,277.994,-1853.14,1745.97,109174,50520,-8595.35,0.995854,1
333106,306237,88,257874,230144,88,4640.07,67558.8,20293.1,28294.9,1543.08,1375.09,679.205,112826,17890.1,-8614.56,0.996881,1
228351,200566,85,283005,244931,88,7407.71,204266,8409.23,44064.9,-534.944,1035.57,2758.89,241581,44959.7,-18123.8,0.998937,1
347957,313865,89,358431,322522,90,7926.55,156702,13324,60969.2,448.191,5167.83,2421.23,113837,73784.1,-8321.33,1.00305,1
223265,199152,87,219226,190957,85,7250.74,222456,4917.72,59311.5,-3103.09,5175.64,2678.3,111251,79655.9,-6257.91,1.00716,1
337302,297424,90,363976,327105,90,10547.5,217444,16475.6,9475.78,949.552,521.315,3792.74,206527,68032.2,-15598.5,1.00819,1
208038,177639,82,267322,228321,86,4198.48,135378,2998.32,29470.9,-31.9693,2726.48,2415.55,269318,30549.9,-21288.2,1.01127,1
194285,171197,83,232513,208124,86,2801.25,111697,4045.54,41546.7,-1550.12,16657.2,682.28,133282,23618,-6395.23,1.01744,1
291683,267892,87,211335,196757,86,5584.44,193892,13488,36301.7,-1371.37,1594.52,1370.84,208557,39814.4,-16363.3,1.01949,1
311213,285044,86,270914,247405,87,8500.12,167726,11677.2,30954.5,-1936.83,2363.8,2028.64,158479,51269.5,-12025.1,1.02257,1
367570,330059,97,307231,278381,90,9553.05,188528,16381.9,23499.8,71.4793,-96.8264,3397.83,128355,68217.2,-9222.99,1.02463,1
342171,308939,89,352350,316380,90,9061.31,163961,15087.3,42493.7,-2184.53,1520.21,3541.36,96207.9,71448,-7120.49,1.02977,1
368120,340896,88,193889,170317,88,11574.4,210199,3694.27,57059.6,1187.7,11289.1,1574.77,145673,39112.8,-11752,1.02977,1
395552,346965,91,356949,312741,93,10782.7,209346,35213.1,21289.4,-231.074,-1188.4,3320.25,176565,80805.1,-15078,1.03491,1
315988,292608,86,255007,231224,88,5793.41,134777,23988.3,43623.2,-356.495,2780.33,2563.01,153037,37510.1,-12337,1.03696,1
270032,236565,89,255107,222684,87,6433.09,223652,16288,41832.8,-1724.22,4006.98,2365.82,250516,62257.8,-21152.1,1.04416,1
338918,297921,95,379164,324399,91,11780.2,141958,13016.5,22709.3,167.158,563.974,2218.13,197480,56710,-16013.2,1.04929,1
325627,303356,86,333930,303164,89,8400.88,191559,10884.3,6973.8,1933.65,7652.39,1354.53,122868,36810.5,-10843.3,1.05957,1
344629,321007,88,222325,202162,86,8820.43,199523,13768.3,38817.2,-1557.95,8336.48,2485.29,106729,57812.2,-8220.34,1.08115,1
323441,302566,85,244215,213454,88,8888.02,148393,8930.6,14859.6,609.135,5081.36,1490.73,264904,29794.4,-22043.1,1.08526,1
266529,254916,83,147258,136744,81,4650.97,142997,4834.63,28155.3,-2019.93,7978.27,2003.35,101775,49125.9,-7339.15,1.08835,1
260308,224437,98,454652,390993,91,7933.22,122225,29065.7,47395.2,1759.24,2878.09,4117.74,275213,58149.1,-22612.4,1.0904,1
287358,263376,92,184666,164062,86,5499.58,151287,5401.98,47351.5,-1323.34,7394.64,241.219,141665,50190.7,-10789.8,1.0976,1
221549,194506,86,353857,325121,86,8996.39,125281,14973,66150.7,-422.378,829,8495.6,113151,56122.3,-7636.28,1.10787,1
310314,267052,88,391391,333652,91,7838.71,157998,13779.8,31496.3,437.613,3932.98,2168.27,287164,48321.2,-23986,1.10993,1
340848,297005,91,329588,285720,90,9058.99,187573,8818.79,27011.8,-1031.39,259.283,1275.84,202461,66213.2,-15826.9,1.13254,1
