"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
282335,262141,81,200021,182803,81,7554.71,222952,10241.1,27584.8,1472.54,23827.5,2226.98,219258,70855.8,-22580.9,100001,2.47381
431354,380687,94,303480,267962,88,13190.7,209789,5248.27,25504.2,3610.03,23469.8,3017.46,192265,141273,-17197.1,84596.8,2.48303
376423,329819,88,257938,219713,87,14819.2,258620,19363.6,14906.2,2572.1,21969.1,5320.2,234487,145680,-19066,67389.4,2.54363
389012,325708,103,389080,329741,90,13021.6,226320,33890.5,14347.3,5181.79,9268.9,3431.14,155113,91075.4,-16896.1,116018,2.54758
330055,296619,88,259441,233753,86,6024.29,103807,19968.1,10572.9,394.553,3626.12,1508.27,96526.9,102496,-9028.89,83721.6,2.55417
369187,315699,91,272739,215441,93,13567.1,203205,25894.6,16243.9,5118.04,2647.52,6593.96,85595.9,111704,-7320.06,75596.2,2.57129
358166,316822,97,216243,186577,86,11869.3,148282,24401.3,32152.7,1796.74,1359.56,4827.82,110845,98455.7,-9834.3,102984,2.5871
322333,285740,91,250432,218676,87,14219.5,208990,14439.8,17447.3,2167.16,6741.9,3677.62,138481,132538,-5363.04,89481.1,2.58973
353148,322912,87,217647,196312,86,10322.5,188289,15179.5,17856.2,989.343,9734.28,1995.47,170017,105364,-15201,65753.7,2.60159
335036,302730,88,183858,163562,83,11712.1,181972,7062.26,17238.8,4388.9,3007.28,3247.91,118390,84823.6,-11118.5,107858,2.60817
331755,281916,89,283322,239153,87,13794,160329,47035.3,23241.7,3939.83,2334.75,5590.42,85134.7,124895,-5736.82,51029.2,2.62135
365064,319119,87,284823,245623,90,11890.8,87726.4,20339,19328.5,2110.68,5850.77,9707.04,95961,156709,-10354.8,69015.5,2.65428
348664,305354,100,246730,215122,100,10103.6,208908,11237.1,20689.9,2647.37,3870.14,3031.53,163770,101581,-15501.2,103207,2.66218
332391,297461,98,245424,213475,98,5759.96,48109.6,18158.1,18073,3617.35,1619.78,1914.28,92690.6,105894,-8963.74,88040.2,2.67272
350940,305186,89,311970,270653,89,15079.9,175159,31868.6,16851.8,1773.96,3419.78,3708.78,188720,186482,-17320.1,89451.9,2.70302
314956,292572,84,170592,157813,81,4025.65,55130,9009.3,23533.6,3847.2,22956.4,1602.75,123744,24826.4,-8054.54,67479.3,2.70829
337761,305786,85,216985,194767,84,13237.3,198747,21730.4,23965.3,4321.24,-1500.22,4260.15,124890,120175,-9237.81,84849,2.71224
346807,306548,88,204948,179578,86,11271.3,177153,16774.8,10087.1,2400.74,8233.23,3612.16,100642,98141.8,-5221.53,51252.5,2.71355
308884,283470,85,171261,155394,81,7979.38,181972,6681.23,16040.5,2349.82,20380,2982.51,206440,64371.2,-22787.8,88796.7,2.72014
302487,275099,96,197855,178532,83,6979.23,115229,5822.14,15870.4,1425.22,6354.22,3849.02,102275,65344.7,-8315.9,128942,2.73068
299257,274948,83,236688,216164,84,8486.49,137728,5752.89,14343,1778.49,3632.09,2680.85,169336,82593.7,-15390,109392,2.75307
298990,272243,84,150318,136686,80,7211.56,113217,11416.2,8485.3,1778.29,6790.23,1234.22,142771,53449.3,-12324.3,103720,2.76756
416499,352218,96,327070,276646,91,18212.5,224125,33662.5,10913.5,2849.27,11323.3,6632.62,189635,157137,-20869.2,93447.6,2.78074
303356,276530,83,218185,195706,84,10236.1,159922,9645.99,15786.1,604.782,5485.74,4293.22,135707,104904,-9127.27,112655,2.83343
289007,259520,83,234099,184380,97,10966.7,186315,4647.94,12784.1,1199.65,1343.11,4247.05,210383,103777,-22246.3,102488,2.85055
328784,298550,85,209660,191921,84,10133.7,132608,21004.5,11739.4,2539.75,4259.15,2644.13,105046,82193.7,-6466.51,85171.1,2.86372
304922,285117,83,182448,168699,81,4130.94,70848.5,7490.81,25749.3,2233.62,18034.2,750.471,125871,38800.1,-9169.76,83795.8,2.87953
325958,293551,83,242407,215445,84,10290.9,141493,13361,23840,3197.37,4871.86,2634.5,125554,93583.6,-12098.8,80408.9,2.88085
301462,274184,83,208236,185835,82,9999.02,170286,11326,20980.7,3095,-857.989,5896.59,128149,97283.5,-2486.16,82319.9,2.8848
428095,374363,90,348066,294797,91,13398.1,238576,18467.9,22229.7,3568.18,16166.7,4556.28,254455,122407,-26205.8,77379.8,2.90719
397809,355612,90,287500,253114,89,15104.8,253172,16338.6,11331.3,3705.8,9218.67,5146.04,148428,130071,-14618.2,105597,2.92563
300457,264787,98,319767,275691,87,4554.3,189992,16840.7,13832.8,5276.21,6462.24,441.651,169487,16885.5,-18406.8,98527.6,2.92959
291281,257424,86,236043,210849,84,8493.61,99248.7,11655.2,22536.9,1381.77,15170,1696.1,127789,139600,-11003.8,103036,2.93485
325243,292965,87,194508,172595,85,7931.73,143574,4216.6,21900,2145.61,9256.96,3584.63,141203,71088.5,-8933.92,132333,2.94144
256286,229148,96,237317,214405,84,6609.16,145106,8936.22,10812.5,1234.44,611.554,1996.91,190879,58669.9,-19011.9,64984.7,2.94408
353433,318137,88,196981,175735,86,13978.7,174463,8888.52,22941,3019.8,13991.1,4872.07,105225,165423,-10688.1,61166,2.94539
301481,279140,83,173244,160453,80,5134.58,112335,5542.49,12508.3,4987.1,17521.1,1425.56,124857,36825.9,-11237.5,73188.3,2.96779
333257,301608,85,204972,184616,84,10142.7,159504,8278.23,17235.7,2891.57,25153.2,3129.07,161992,90586.7,-14707.9,100471,2.98228
326761,294786,84,264964,233258,84,12400.2,223206,30904.9,21171.6,880.233,4193.71,4251.91,164699,129158,-13035.8,42795,3.0455
404240,353974,95,278031,243390,89,16266.1,245602,9194.58,17468.8,2846.71,5634.78,3820.42,213783,126874,-21530.2,37909.8,3.06526
