"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
293728,265617,85,245451,215685,83,14541.1,201727,24374.9,116532,-827.552,6072.95,6890.5,165793,107936,-18865.8,83746.7,12.502
290299,264096,86,219326,192265,83,11638.4,214812,20547.8,131361,307.634,8328.91,3603.45,322298,110977,-27117.5,133984,12.5567
333532,303410,82,213306,187559,84,12739,252200,38790,72361.6,2465.82,6706.87,4771.64,194329,98280.7,-21186.1,82960.6,13.4775
402859,371554,88,195984,175925,85,17297.5,198123,26446.2,87035.5,4081.48,8726.3,2761.78,113283,73464,-12485.6,84557.9,13.6469
413481,368011,89,262153,225142,88,23355.3,434442,10410.1,88149.8,378.653,1028.75,5379.17,182757,183681,-18044,70256.3,13.687
430022,379817,93,312301,281840,89,20473.3,290536,7008.25,78751,2160,7897.77,6554.59,276269,160324,-27451.4,66783.2,13.8404
379035,350453,87,179114,162584,84,14047.3,238804,23478.6,42947.8,1582.37,11076.9,1714.98,121483,103168,-11710.6,95220.8,14.0032
294693,264058,93,267123,237989,86,13013.7,265037,9193.47,41035.5,996.532,2121.35,4739.56,149975,105400,-15701.9,98545.8,14.3181
363624,315826,88,272150,233565,88,19518.2,246763,23450.9,89105.6,2514.01,25.2036,5519.32,257020,160834,-27984.7,116560,14.4235
226814,199273,88,192406,163589,82,5946.85,192664,7947.28,76324.5,603.08,37458.3,2301.74,289916,61754.3,-30190.7,96733,14.4302
322558,287917,86,232271,200075,85,13275.3,248322,20368.3,110476,2293.92,1728.1,5331.04,175361,111832,-17216.5,91347.7,14.4316
392356,351341,89,306319,270259,87,18141.7,306428,39806.1,63201.2,4239.42,1521.11,5838.71,311718,161887,-33728.7,77217.7,14.4889
278639,255705,87,181248,167038,81,9389.51,152649,6228.4,68673.8,1916.35,19689.8,2355.89,266825,79909.2,-27557.2,73306.5,14.5036
299325,279846,90,182639,163653,83,9414.16,184622,11970.5,71200.2,1222.77,3801.85,2047.57,222335,66153.8,-23961.7,60967.6,14.549
327513,286898,88,251441,217950,86,15197.2,263498,22606.9,57326.1,2959.59,-40.2512,9184.9,184592,123333,-12844.1,68873.5,14.6757
303302,277416,86,162931,141087,82,12886.6,184391,17521.4,9408.63,904.012,-1555.9,3709.72,62568.6,91962.4,-6251.99,63495.5,14.7585
354848,320022,92,199783,182754,85,16988.3,270681,15022.7,54061.3,2269.52,2563.65,3841.61,108616,92982,-11814.7,53107.6,14.98
296419,262777,92,276851,240759,85,13810.2,172656,91514.1,70168.4,612.746,1110.51,5595.46,146854,89771.9,-16146.7,83007.9,14.992
341143,300670,87,302501,262315,88,17907.8,268983,32307.8,57480.5,781.016,13867.2,5707.79,193723,151748,-19425.3,106079,15.032
396354,347094,88,339728,287272,87,18305.9,350334,19814.8,82637.9,1260.22,-36.2229,6986.93,218691,169932,-22825.7,68200.1,15.0761
299971,270241,85,271595,246950,83,11920.3,183254,10502.6,63509.3,-180.177,21452.8,3356.98,245499,102018,-26017.5,94695.9,15.1975
337675,303411,84,248097,217390,84,12574.8,287445,20330.9,77393.6,1835.4,3302.4,4001.67,189246,116608,-19897,100161,15.2495
347072,307977,87,233068,204036,85,11976.6,217829,7957.15,96493.1,2525.77,351.739,2726.13,321216,94592.5,-35722.4,92175.6,15.2495
249593,214691,92,340606,293874,86,8272.63,161525,35303.6,123641,2710.79,131.21,4326.56,310786,68028,-33952.1,81886.8,15.3563
412520,366219,96,286493,255133,87,21641.2,297264,7726.17,77227.9,2749.67,1791.76,5780.78,261588,170750,-27918.7,90975.8,15.3763
291826,268872,86,195921,173247,84,9786.91,168731,4944.04,60034.4,1068.01,18653.3,2491.62,308023,85723.4,-28628.2,100583,15.4137
320621,299723,87,164556,152577,83,1919.23,130687,9535.51,57961.9,3927.68,23825,1395.19,303180,8178.78,-31799.3,50171.2,15.4817
377142,337850,89,238514,208866,87,12328.6,227805,23018.8,89605.9,1827.99,2258.72,3771.43,249041,102459,-27816.1,108607,15.7166
347058,320945,86,252148,229087,85,13621.4,216670,17809.9,65258,768.63,5720.59,3338.19,159698,95134.9,-16348.6,86455.2,16.0662
299816,266599,88,254400,226912,84,8807.97,116354,28644.9,75069.9,1238.35,-352.685,6391.27,126909,26561.2,-13267.4,59350.1,16.1196
266999,250365,79,212952,196725,83,9614.89,185076,9462.96,56791.1,313.816,35166.1,3771.45,425438,91315.4,-45444.9,86127.9,16.1676
289686,267809,84,213637,194538,81,12237.7,281241,5724.77,49967.1,-346.369,44801.8,3223.02,350544,113470,-35244.2,88179.4,16.297
377396,318801,93,186276,156500,87,20287.3,225924,29984,65598.2,5579.36,-1393.2,3174.03,237696,148458,-25473.9,78793.2,16.3064
296379,272784,86,169348,152823,83,11839.2,173192,8095.5,42504.3,999.367,1094.15,3005.77,118406,79171.3,-11864,105242,16.3851
304258,272732,86,247748,213985,85,10745.8,166166,16438.6,75549.6,1978.52,5924.8,3838.66,354830,85210,-37996.5,133873,16.3958
369639,339679,83,279850,244037,90,22059.4,322165,10391.9,108195,160.061,-2160.78,6907.72,330609,209888,-35487.1,102859,16.7668
234883,207410,82,228040,205753,82,9027.42,147862,13941.1,43412.8,-182.409,12648.1,2368.33,224831,64511.1,-22997.3,107534,16.8468
385223,338439,86,331626,286130,88,16921.3,218326,7130.26,59121.8,3250.4,6041.7,3368.6,257870,101007,-27760.3,79859.3,16.9843
355039,285564,106,294735,189175,102,14211.1,233415,42912.2,87519.2,3406.51,2382.33,2945.3,176659,114410,-16942,88106.2,17.1497
294517,274189,82,189236,170498,82,10229.2,190528,6618.83,61635.5,32.2201,16648.7,1806.54,438864,96036.4,-47337.4,96777.8,17.2245
381071,339426,87,286944,255712,87,22063,330292,25121.6,64103.1,-503.414,2584.99,3433.3,200515,173534,-19537.3,97878.5,17.2618
303062,277391,84,229508,204711,83,10529,230163,12265.9,73936.6,-934.051,27451.4,3340.89,282203,99882.7,-29186,88310,17.3205
351305,304629,92,306456,265383,88,15087.1,300843,71830.5,74276.8,2160.22,1407.17,11545.5,259562,146005,-27728.2,38793,17.494
318036,285020,87,316612,275698,87,10207.3,331389,34158.9,103662,1005.14,524.544,6219.08,193936,122354,-19320.7,66401.5,17.546
