"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
312439,275490,88,293577,258354,87,7165.94,571.118,11710.8,77371,3846.62,10705,3638.33,259.997,34486.4,1056.13,5.19647,1
306244,276364,85,302500,269920,86,4246.04,-307.675,7543.85,63482.7,3026.42,1384.38,4001.53,1480.62,42086,6106.67,5.22509,1
276054,267882,78,185624,169822,81,26620.1,592.901,5122.41,34748.1,871.678,-908.19,8237.74,736.231,36979.4,5520.7,5.22713,1
371068,330774,86,282119,232261,88,7699.74,1851.37,12200.8,112684,4716.98,2971.29,2251.83,439.89,44741.9,-246.399,5.30583,1
328637,297608,85,293291,258798,86,4053.48,-111.824,4276.53,27043,3104.53,3981.6,1639.39,344.888,34871.5,4499.13,5.31605,1
320334,282558,87,219455,201354,82,25900.9,1228.76,6627.45,43357.8,2295.05,935.053,15686.1,201.807,42365.8,7216.82,5.32832,1
333673,294652,89,257898,223432,86,3869.03,390.217,6442.17,77119.4,2780.27,500.867,1593.17,405.804,31586.1,217.502,5.3365,1
283401,245787,83,290903,253027,86,4361.09,1478.39,3507.29,84409,4853.21,10918.5,2792.02,693.445,48124.8,1567.34,5.34978,1
301374,263149,87,300396,263530,86,4147.43,652.943,4687.06,107060,3767.26,14048.3,3776.39,1008.54,42289.8,230.851,5.45711,1
310465,277166,85,247410,216047,85,3513.31,17.126,6319.05,60382.7,3411.21,11658.8,1272.68,1195.22,32117.5,-474.712,5.49799,1
341802,313318,84,254244,231779,83,6035.83,622.712,6646.71,102577,5454.62,32044.8,2094.75,1644.6,10580.1,118.366,5.5767,1
312936,268990,89,392820,339141,88,4400.65,552.53,9667.92,107710,5600.68,4333.62,3018.46,-1273.9,51519,3551.6,5.58692,1
339627,295558,93,244888,208047,93,3560.34,-106.705,5852.35,65281.4,3448.01,19828.8,761.039,217.639,26424.8,1534.11,5.61451,1
